	Goal
1	Bring the villain to justice.
2	Clear the name of an innocent N PC.
3	Protect or hide an N PC.
4	Protect an object.
5	Discover the nature and origin of a strange phenomenon that might be the villain's doing.
6	Find a wanted fugitive.
7	Overthrow a tyrant. 8 Uncover a conspiracy to overthrow a ruler.
9	Negotiate peace between enemy nations or feuding families.
10	Secure aid from a ruler or council.
11	Help a villain find redemption.
12	Parley with a villain.
l3	Smuggle weapons to rebel forces.
14	Stop a band of smugglers.
15	Gather intelligence on an enemy force.
16	Win a tournament.
17	Determine the villain's identity.
18	Locate a stolen item.
19	Make sure a wedding goes off without a hitch.
20	Roll twice, ignoring results of 20.
